society,colony,property_type,price_outer,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,area,super_built_up_area,built_up_area,carpet_area,plot_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories,area/bedrooms
karamveer nagar,piplani,House,350.0,23333,2.0,East,3,4,3,1500.02,,2200.0,,1500.0,0,1,0,1,0,0,1,2,Road Facing Homes,500.00666666666666
jatkhedi,misrod,House,120.0,10000,2.0,South-East,4,4,2,1200.0,,,,1200.0,0,0,0,0,1,0,0,26,Green View Homes,300.0
ganpati enclave,shirdipuram,House,40.0,4444,1.0,West,2,2,0,900.09,,,,900.0,0,0,0,0,0,0,1,0,Road Facing Homes,450.045
sarvadharm colony,kolar road,Flat,17.0,2428,2.0,,2,2,1,700.16,700.0,,,,0,0,0,0,0,0,1,7,Road Facing Homes,350.08
rajved colony,gehu kheda,House,29.0,4264,1.0,West,3,2,1,680.11,,,,680.0,0,0,0,0,0,0,1,9,Road Facing Homes,226.70333333333335
janki nagar,chuna bhatti,House,38.0,3800,2.0,,3,3,2,1000.0,,1500.0,,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes,333.3333333333333
sarc pacific blue,hoshangabad road,Flat,18.0,4500,3.0,,1,1,1,400.0,400.0,,,,0,0,0,0,0,0,1,41,Amenity Facing Homes,400.0
prestine the homes,ayodhya bypass,Flat,30.9,3433,4.0,East,3,2,1,900.09,1372.0,,900.0,,0,0,0,0,0,0,1,31,Road Facing Homes,300.03000000000003
independent,central bhopal,House,90.0,11718,2.0,,2,2,2,768.05,,900.0,,768.0,0,0,0,0,0,0,0,3,Road Facing Homes,384.025
rishikesh nirmaan the bellaire mint,gandhinagar,Flat,30.0,4000,6.0,East,2,2,3,750.0,1060.0,,750.0,,0,0,0,0,0,0,1,44,Green View Homes,375.0
fortune signature,bawadia kalan,Flat,42.0,3706,2.0,East,2,2,2,1133.3,1133.0,,750.0,,0,0,0,0,0,0,0,66,Amenity Facing Homes,566.65
elixir gardens,gandhinagar,House,100.0,9689,2.0,East,4,4,1,1032.1,,,,1032.0,1,0,0,1,0,0,0,32,Green View Homes,258.025
gate number 8 shahpura,shahpura,House,210.0,8750,2.0,South,7,6,2,2400.0,,,,2400.0,0,0,0,0,0,0,1,1,Green View Homes,342.85714285714283
lambakheda berasia road,navi bagh,House,59.0,5900,2.0,,3,2,2,1000.0,,,,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes,333.3333333333333
anmol maple tree phase 2,gandhinagar,Flat,56.0,3081,6.0,East,3,2,2,1817.59,1590.0,,,,1,0,0,1,0,0,2,33,Amenity Facing Homes,605.8633333333333
fortune pride extension,bawadia kalan,House,135.0,10869,2.0,West,3,3,2,1242.06,,,,1200.0,0,0,0,0,0,0,0,24,Green View Homes,414.02
kartik kasturi heights,navi bagh,Flat,25.0,2314,2.0,,2,2,0,1080.38,1080.0,,,,0,0,0,0,0,0,1,39,Green View Homes,540.19
hills view bunglow,chuna bhatti,House,545.0,5450,4.0,North,7,7,3,10000.0,,12000.0,10000.0,3982.0,1,1,1,1,0,0,2,137,Green View Homes,1428.5714285714287
lilasons kanha towers,arera colony,Flat,200.0,7659,5.0,,4,3,3,2611.31,,,2611.0,,0,0,0,0,0,0,2,0,Road Facing Homes,652.8275
shanti nagar berkhera pathni,habib ganj,House,10.0,2083,1.0,,3,1,0,480.08,,,,480.0,0,0,0,0,0,0,1,0,Road Facing Homes,160.02666666666667
shiva whispering woods,salaiya,Flat,42.0,3818,4.0,,3,2,2,1100.05,,,1100.0,,0,0,0,0,0,0,1,33,Amenity Facing Homes,366.68333333333334
sai vishal apartment,kolar road,Flat,20.0,2150,2.0,South-East,2,2,1,930.23,930.0,,750.0,,0,0,0,0,1,0,1,12,Road Facing Homes,465.115
satya prakash nice space,gandhinagar,Flat,32.0,2909,4.0,,3,2,1,1100.03,1100.0,900.0,,,0,0,0,1,0,0,1,45,Green View Homes,366.6766666666667
noor us sabah residency,shahjahanabad,Flat,480.0,13872,5.0,North-West,6,8,3,3460.21,3460.0,,,,1,1,0,1,1,0,1,63,Premium Scenic Homes,576.7016666666667
ultimate english villa,kolar road,House,60.0,8534,2.0,West,3,3,1,703.07,,,,703.0,0,0,0,0,0,0,1,14,Amenity Facing Homes,234.35666666666668
agrawal sagar green hills,kolar road,House,180.0,13636,3.0,North,5,5,3,1320.04,,,,1320.0,1,0,0,1,0,0,2,94,Amenity Facing Homes,264.008
vayu royal enclave 1,awadhpuri,House,56.0,7000,,North,3,3,2,800.0,,,,800.0,0,0,0,1,1,0,0,16,Green View Homes,266.6666666666667
sarthak heights,awadhpuri,Flat,30.0,4285,3.0,,2,2,1,700.12,,,700.0,,0,0,0,0,0,0,1,6,Road Facing Homes,350.06
aakrati olive,bawadia kalan,Flat,69.0,7123,4.0,,3,3,2,968.69,,,969.0,,0,0,0,0,0,0,1,24,Road Facing Homes,322.8966666666667
lig-176,bhopal,Flat,12.0,2000,1.0,,1,1,0,600.0,,,600.0,,0,0,0,0,0,0,1,12,Road Facing Homes,600.0
agrawal sagar campus,chuna bhatti,Flat,36.0,4235,3.0,,3,2,2,850.06,1600.0,1300.0,850.0,,0,0,0,0,1,0,0,9,Road Facing Homes,283.3533333333333
sharda apartment,central bhopal,Flat,65.0,9285,1.0,,2,1,1,700.05,,700.0,670.0,,0,0,0,0,0,0,1,0,Road Facing Homes,350.025
mahendra township,arera colony,Flat,27.25,2270,3.0,West,3,2,1,1200.44,1200.0,,800.0,,0,0,0,0,0,0,1,13,Green View Homes,400.1466666666667
danish hills view,kolar road,Flat,85.0,5448,2.0,East,3,3,1,1560.21,,,1560.0,,0,0,0,0,0,0,1,35,Amenity Facing Homes,520.07
danish hills view,kolar road,House,230.0,18400,3.0,,4,4,2,1250.0,,4100.0,,1250.0,0,0,1,0,0,0,2,85,Amenity Facing Homes,312.5
rajharsh colony,gehu kheda,House,85.0,7083,1.0,East,3,2,0,1200.06,,,,1200.0,0,0,0,0,0,0,1,23,Road Facing Homes,400.02
mirchandani shalimar regency,arera colony,Flat,52.0,5777,1.0,,3,3,2,900.12,,,900.0,,0,0,0,0,0,0,1,18,Green View Homes,300.04
gauri shankar parisar,katara hills,Flat,16.5,2997,4.0,East,2,1,2,550.55,,,550.0,,0,0,0,0,0,0,1,48,Green View Homes,275.275
d-sectorrajved colony,kolar road,House,50.0,5625,2.0,South,3,2,1,888.89,,,,800.0,0,0,0,1,0,0,0,3,Road Facing Homes,296.2966666666667
shiva estate,bhopal,Flat,20.0,2857,1.0,,2,2,2,700.04,,,700.0,,0,0,0,0,0,0,1,0,Road Facing Homes,350.02
awadhpuri,awadhpuri,House,81.0,6881,2.0,East,4,2,2,1177.15,,,,1177.0,0,0,0,1,0,0,1,9,Green View Homes,294.2875
nikhil banglow hoshangabad road,hoshangabad road,House,90.0,9000,2.0,,3,3,2,1000.0,,,,1000.0,0,0,0,0,0,0,0,0,Green View Homes,333.3333333333333
trebhuvan vihar,katara hills,House,75.0,6000,1.0,,3,2,2,1250.0,,,,1250.0,0,0,0,0,0,0,1,16,Green View Homes,416.6666666666667
kasturi royal park,katara hills,House,80.0,6666,1.0,,2,2,1,1200.12,,,,1200.0,0,0,0,0,0,0,1,12,Green View Homes,600.06
bhojpal shree krishna heights,katara hills,Flat,36.0,4500,2.0,North-West,2,2,2,800.0,1260.0,900.0,800.0,,0,0,0,0,0,1,1,45,Amenity Facing Homes,400.0
kohefiza,shahjahanabad,House,700.0,31111,3.0,,10,5,2,2250.01,,,,2250.0,0,0,0,0,0,0,1,0,Road Facing Homes,225.00100000000003
drishti enclave,bawadia kalan,Flat,54.9,3635,3.0,East,3,3,1,1510.32,1510.0,1088.0,850.0,,0,0,0,0,0,0,1,22,Green View Homes,503.44
danish kunj jain mandir,gehu kheda,Flat,18.0,2250,3.0,,2,2,1,800.0,,,800.0,,0,0,0,0,0,0,1,11,Road Facing Homes,400.0
mahaveer apartment,central bhopal,Flat,30.0,4615,2.0,East,2,2,1,650.05,,,650.0,,0,0,0,0,0,0,1,24,Road Facing Homes,325.025
regal town,awadhpuri,Flat,25.0,3410,5.0,,2,2,1,733.14,,,733.0,,0,0,0,0,0,0,0,41,Amenity Facing Homes,366.57
rajharsh colony,gehu kheda,House,42.0,3281,2.0,,3,2,1,1280.1,,1280.0,,750.0,0,0,0,0,0,0,1,8,Road Facing Homes,426.7
shree ganesh lotus park,mandideep,House,25.0,3472,1.0,East,3,2,2,720.05,,1400.0,,720.0,0,0,0,0,1,0,1,4,Green View Homes,240.01666666666665
laharpur,bagmuliya,House,66.0,9428,,,2,1,2,700.04,,,,700.0,0,0,0,0,0,0,1,8,Road Facing Homes,350.02
saket nagar,habib ganj,House,211.0,8178,1.0,West,3,3,2,2580.09,,2000.0,1800.0,2580.0,1,0,0,1,1,0,1,9,Green View Homes,860.0300000000001
anmol maple tree phase 2,gandhinagar,Flat,39.0,2888,1.0,,3,3,2,1350.42,,,1350.0,,0,0,0,0,0,0,1,39,Amenity Facing Homes,450.14000000000004
karond chouraha,karond,House,25.0,5555,2.0,South,3,2,1,450.05,,,,450.0,0,0,0,1,1,0,0,8,Road Facing Homes,150.01666666666668
jd kasturi vihar,misrod,House,45.0,8789,2.0,,3,2,2,512.0,,,,512.0,0,0,0,0,0,0,1,7,Road Facing Homes,170.66666666666666
ap park avenue,misrod,Flat,40.0,2666,1.0,,3,2,3,1500.38,1502.0,,1500.0,,0,0,0,0,0,0,0,41,Road Facing Homes,500.1266666666667
prakrati eden and elite,bawadia kalan,Flat,62.0,4460,3.0,East,3,2,2,1390.13,1390.0,1030.0,,,0,0,0,0,0,0,1,35,Road Facing Homes,463.3766666666667
fortune estate,kolar road,House,150.0,10000,2.0,,4,3,2,1500.0,,,,1500.0,0,0,0,0,0,0,0,11,Green View Homes,375.0
danish kunj,gehu kheda,House,270.0,11250,1.0,,5,3,2,2400.0,,4000.0,,2400.0,0,0,0,0,0,0,1,12,Green View Homes,480.0
globus coral woods,misrod,Flat,60.0,5730,3.0,,3,3,2,1047.12,,1047.0,,,0,0,1,0,0,0,1,63,Amenity Facing Homes,349.03999999999996
virasha heights,bawadia kalan,Flat,70.0,5833,5.0,East,3,3,1,1200.07,1316.0,,1200.0,,0,0,0,0,0,0,0,42,Amenity Facing Homes,400.0233333333333
flower city,bagmugaliya,House,125.0,9881,2.0,West,4,3,2,1265.05,,,,1265.0,0,0,0,0,1,0,0,28,Green View Homes,316.2625
globus coral woods,misrod,Flat,63.0,5748,2.0,,3,3,2,1096.03,,1096.0,,,1,0,0,0,0,0,1,85,Amenity Facing Homes,365.3433333333333
bhuvi madhurban phase1,bypass road,Flat,25.0,4166,1.0,,1,1,2,600.1,600.0,,460.0,,0,0,0,0,0,0,1,0,Road Facing Homes,600.1
katara hillshoshangabad road,katara hills,House,110.0,9606,2.0,North-West,3,3,1,1145.12,,,,1145.0,1,0,0,1,0,0,1,0,Green View Homes,381.70666666666665
gammon shrishti cbd,central bhopal,Flat,250.0,11532,15.0,North,3,3,2,2167.88,2081.0,,,,1,1,0,1,1,0,1,85,Premium Scenic Homes,722.6266666666667
sahara states,misrod,House,55.0,4122,1.0,East,2,2,0,1334.3,,,,1334.0,0,0,0,1,1,0,1,16,Road Facing Homes,667.15
hoshangabad road,hoshangabad road,House,160.0,10666,2.0,,4,4,3,1500.09,,,,1500.0,0,0,0,1,0,0,1,48,Green View Homes,375.0225
jharneshwar complex,central bhopal,Flat,47.0,4700,1.0,,2,1,1,1000.0,,,1000.0,,0,0,0,0,0,0,1,3,Road Facing Homes,500.0
rachna nagar,govindpura,House,180.0,3830,3.0,,9,7,0,4699.74,,4700.0,,,0,0,0,0,0,0,1,9,Road Facing Homes,522.1933333333333
airport road,gandhinagar,House,26.6,3309,1.0,,2,2,0,803.87,,,,710.0,0,0,0,0,0,0,1,14,Amenity Facing Homes,401.935
aadhhaar symphony,kolar road,Flat,35.0,3271,7.0,,2,2,2,1070.01,1070.0,,,,0,0,0,0,0,1,0,60,Road Facing Homes,535.005
fame lalita nagar,lalgathi,Flat,22.5,3103,2.0,,2,2,2,725.1,725.0,,,,0,0,0,0,0,0,1,0,Road Facing Homes,362.55
jawahar nagar,bypass road,House,52.0,2600,2.0,,3,2,1,2000.0,,,,2000.0,0,0,0,0,0,0,1,0,Road Facing Homes,666.6666666666666
ravidas nagar,bhopal,House,130.0,2888,2.0,,5,3,0,4501.39,,,,4500.0,0,0,0,0,0,0,1,0,Road Facing Homes,900.278
aadhhaar symphony,kolar road,Flat,40.0,3636,7.0,,2,2,2,1100.11,1115.0,,1100.0,,0,0,0,0,0,0,1,45,Road Facing Homes,550.055
chuna bhati,chuna bhatti,Flat,45.0,3600,2.0,East,2,2,2,1250.0,1250.0,1200.0,1100.0,,0,0,0,0,1,0,1,28,Road Facing Homes,625.0
sneh nagar,bhopal,House,100.0,9671,2.0,,3,3,1,1034.02,,,,1034.0,0,0,0,0,0,0,1,0,Road Facing Homes,344.67333333333335
ripl maple tree,gandhinagar,Flat,45.0,2830,4.0,,3,2,1,1590.11,,1590.0,1200.0,,0,0,0,0,1,0,1,30,Amenity Facing Homes,530.0366666666666
navaakar parke serene,gehu kheda,Flat,32.0,2723,5.0,,3,2,2,1175.17,1175.0,1050.0,960.0,,0,0,0,0,0,0,2,8,Road Facing Homes,391.72333333333336
sterling pride city,katara hills,House,85.0,7391,2.0,West,4,3,1,1150.05,,,,1150.0,0,0,0,0,0,0,1,4,Amenity Facing Homes,287.5125
manak vihar,bhopal,House,150.0,5000,2.0,,9,7,1,3000.0,,,,3000.0,0,0,0,1,0,0,1,39,Road Facing Homes,333.3333333333333
citi vistaar,gehu kheda,Flat,42.0,2663,4.0,East,2,2,2,1577.17,,,1577.0,,1,1,0,1,1,0,0,46,Green View Homes,788.585
amaltas westminster,ayodhya bypass,Flat,25.0,6250,7.0,,2,1,1,400.0,,430.0,400.0,,0,0,0,0,0,0,1,51,Amenity Facing Homes,200.0
vijay stambh,central bhopal,Flat,60.0,6309,8.0,,2,2,1,951.02,,,951.0,,0,0,0,0,0,0,1,28,Green View Homes,475.51
ibd hallmark citii,mahawadiya,Flat,25.0,2325,1.0,West,3,2,3,1075.27,1075.0,,,,0,0,0,0,0,0,1,9,Green View Homes,358.42333333333335
vishnu hitech city,bawadia kalan,Flat,55.0,4583,1.0,East,3,2,2,1200.09,1200.0,,,,0,0,0,0,0,0,2,22,Amenity Facing Homes,400.03
ag8 aakriti highlands,outside bhopal,House,35.0,3333,2.0,,2,2,2,1050.11,,,,1050.0,0,0,0,0,0,0,1,23,Road Facing Homes,525.055
apartment,navi bagh,Flat,16.0,2162,1.0,,2,2,1,740.06,,,740.0,,0,0,0,0,0,0,1,0,Road Facing Homes,370.03
green heights,shahpura,Flat,75.0,6000,1.0,East,3,3,2,1250.0,,,1250.0,,0,0,0,0,0,0,0,30,Road Facing Homes,416.6666666666667
shankracharya nagar,aishbagh,House,85.0,7083,2.0,West,3,3,1,1200.06,,,,1200.0,0,0,0,1,0,0,1,0,Green View Homes,400.02
indus realty,mandideep,Flat,15.0,1428,1.0,,2,2,1,1050.42,1050.0,950.0,650.0,,0,0,0,0,0,0,1,21,Road Facing Homes,525.21
ayodhya nagar,ayodhya bypass,House,24.0,3692,1.0,,2,1,1,650.05,,,,650.0,0,0,0,0,0,0,1,3,Road Facing Homes,325.025
bagmugaliya,bagmugaliya,House,100.0,10000,2.0,East,3,2,2,1000.0,,,,1000.0,0,0,0,0,0,0,1,14,Road Facing Homes,333.3333333333333
tulsi tower,central bhopal,Flat,450.0,16363,3.0,East,4,5,3,2750.11,,,2750.0,,0,1,0,0,0,0,2,35,Premium Scenic Homes,687.5275
tilak society,lalgathi,House,61.0,8402,2.0,East,3,3,1,726.02,,1350.0,726.0,726.0,0,0,0,0,0,0,1,13,Road Facing Homes,242.00666666666666
mayur homes,bhopal,House,18.0,2142,,East,2,1,0,840.34,,,,840.0,0,0,0,0,1,0,1,77,Amenity Facing Homes,420.17
globus green bay,outside bhopal,Flat,25.0,3012,5.0,North,2,2,1,830.01,,,830.0,,0,0,0,0,0,0,1,67,Green View Homes,415.005
danish kunj,gehu kheda,House,70.0,7000,,,3,3,1,1000.0,,1600.0,,1000.0,0,0,0,0,0,0,1,12,Green View Homes,333.3333333333333
saket nagar,habib ganj,House,207.0,8003,2.0,West,5,3,1,2586.53,,,,2580.0,0,0,0,0,1,0,1,14,Road Facing Homes,517.306
regal town,awadhpuri,Flat,36.0,3478,4.0,North,3,3,3,1035.08,1035.0,,,,0,0,0,0,0,0,1,46,Amenity Facing Homes,345.02666666666664
signature residency,shirdipuram,House,115.0,7986,,East,3,3,2,1440.02,,,,1440.0,1,0,0,1,0,0,2,83,Green View Homes,480.00666666666666
hoshangabad road,hoshangabad road,House,25.0,2500,1.0,,2,2,2,1000.0,,,,1000.0,0,0,0,0,0,0,1,48,Green View Homes,500.0
agrawal sagar green hills,kolar road,Flat,55.0,5319,4.0,,3,2,1,1034.03,,,1034.0,,0,0,0,0,0,0,1,25,Amenity Facing Homes,344.6766666666667
deep shree homes awadhpuri,awadhpuri,House,75.0,7142,2.0,East,3,2,1,1050.13,,,,1050.0,0,0,0,0,1,0,1,13,Green View Homes,350.04333333333335
natraj society,misrod,Flat,22.0,3142,2.0,,2,2,1,700.19,700.0,,,,0,0,0,0,0,0,1,45,Road Facing Homes,350.095
unitech unihomes 2,chuna bhatti,Flat,41.0,2523,1.0,North,3,3,3,1625.05,,1625.0,1145.0,,0,0,0,0,0,0,1,0,Road Facing Homes,541.6833333333333
aakrati olive,bawadia kalan,Flat,72.0,5760,4.0,East,3,3,2,1250.0,1250.0,,,,0,0,0,0,0,0,2,24,Road Facing Homes,416.6666666666667
awadhpuri,awadhpuri,House,80.0,6666,1.0,,4,2,2,1200.12,,,,1200.0,0,0,0,0,0,0,1,9,Green View Homes,300.03
shri parasnath sheetal tower,lalgathi,Flat,62.0,4769,2.0,,4,3,3,1300.06,,,1300.0,,0,0,0,0,1,0,1,31,Road Facing Homes,325.015
housing board colony,karond,House,85.0,8228,2.0,,3,2,1,1033.06,,1800.0,1033.0,1033.0,0,0,0,0,0,0,1,9,Road Facing Homes,344.3533333333333
natraj society,misrod,Flat,16.0,2503,1.0,,2,2,2,639.23,,756.0,639.0,,0,0,0,0,0,0,1,45,Road Facing Homes,319.615
app,bhopal,Flat,35.0,3500,1.0,East,3,2,1,1000.0,,,1000.0,,0,0,0,0,0,0,0,3,Road Facing Homes,333.3333333333333
lala lajpat rai society,arera colony,Flat,15.0,3000,1.0,,2,2,1,500.0,,,500.0,,0,0,0,0,0,0,1,0,Road Facing Homes,250.0
lakhumal nikhil nestles,hoshangabad road,Flat,30.0,2500,6.0,West,2,2,2,1200.0,1200.0,,900.0,,0,0,0,0,0,0,0,73,Green View Homes,600.0
archana balaji towers,patel nagar,Flat,25.0,2500,2.0,,2,2,2,1000.0,1000.0,,,,0,0,0,0,0,0,1,11,Road Facing Homes,500.0
sonagiri chanchal nagar,piplani,House,85.0,8500,2.0,,3,2,2,1000.0,,,,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes,333.3333333333333
b sector shahpura,shahpura,House,1100.0,20560,2.0,East,5,5,3,5350.19,,4000.0,,5350.0,1,1,1,1,0,0,0,38,Road Facing Homes,1070.038
basant kunj,bhopal,House,275.0,12222,2.0,North,5,5,3,2250.04,,4000.0,,2250.0,0,0,0,0,0,0,1,0,Green View Homes,450.008
new pm awas yojna,karond,Flat,29.5,3881,7.0,,2,2,2,760.11,,,760.0,,0,0,0,0,0,0,2,0,Road Facing Homes,380.055
baghmugaliya,bhopal,Flat,14.0,3500,1.0,West,1,1,1,400.0,,,400.0,,0,0,0,0,0,0,1,0,Road Facing Homes,400.0
ibd hallmark citii,mahawadiya,Flat,25.0,3125,2.0,,3,2,3,800.0,,,800.0,,0,0,0,0,0,0,0,15,Green View Homes,266.6666666666667
ananda dhara apartments,bypass road,Flat,24.0,2696,5.0,,3,2,1,890.21,890.0,,,,0,0,0,0,0,0,1,0,Road Facing Homes,296.7366666666667
12no. bus stop multi,arera colony,Flat,65.0,6500,1.0,,3,2,2,1000.0,,,1000.0,,0,0,0,0,0,0,1,0,Road Facing Homes,333.3333333333333
aadhhaar symphony,kolar road,Flat,35.0,3271,7.0,,2,2,1,1070.01,1070.0,,,,0,0,0,0,0,0,1,45,Road Facing Homes,535.005
keelandev tower,central bhopal,Flat,118.0,9291,5.0,,2,2,2,1270.05,,,1270.0,,0,0,0,0,0,0,1,35,Premium Scenic Homes,635.025
gauri shankar parisar,katara hills,Flat,9.5,2209,3.0,,1,1,1,430.06,430.0,,,,0,0,0,0,0,0,1,48,Green View Homes,430.06
swarn kunj,shahpura,Flat,47.0,5875,1.0,East,2,2,2,800.0,,,800.0,,0,0,0,0,0,1,1,0,Green View Homes,400.0
sector -bh no.4,ashoka garden,House,61.0,12577,3.0,North,1,3,2,485.01,,1500.0,1200.0,485.0,0,1,0,0,0,0,0,3,Road Facing Homes,121.2525
faith imperial heights,kolar road,Flat,19.5,2140,2.0,East,2,2,2,911.21,911.0,,,,0,0,0,0,0,0,0,53,Green View Homes,455.605
mphid dwarika parisar,bagmugaliya,Flat,58.0,4157,4.0,North,3,3,2,1395.24,,,1395.0,,0,0,0,0,0,0,1,30,Green View Homes,465.08
shiv angan,salaiya,Flat,55.0,5045,3.0,North,3,3,3,1090.19,,,1090.0,,0,0,0,0,0,0,1,28,Green View Homes,363.3966666666667
ville panache,salaiya,Flat,62.5,5841,6.0,East,3,2,3,1070.02,,1496.0,1070.0,,0,0,0,0,1,0,2,66,Amenity Facing Homes,356.67333333333335
radha krishna colony,karond,House,46.0,3474,3.0,,3,3,3,1324.12,,,,1324.0,1,1,0,1,0,0,0,3,Road Facing Homes,441.3733333333333
amrit bindras pebble bay,bagmugaliya,House,110.0,9540,2.0,North-West,3,3,1,1153.04,,2000.0,,1153.0,1,0,0,1,0,0,1,29,Green View Homes,384.34666666666664
signature 360,katara hills,Flat,42.0,3333,1.0,South-East,3,2,2,1260.13,1260.0,902.0,,,0,0,0,0,0,0,0,32,Amenity Facing Homes,420.04333333333335
aradhana nagar,central bhopal,House,225.0,15000,2.0,East,5,4,2,1500.0,,,,1500.0,1,0,0,1,1,0,2,0,Road Facing Homes,300.0
signature 360,katara hills,House,77.0,7700,2.0,East,3,3,2,1000.0,,,,1000.0,0,0,0,0,0,0,0,19,Amenity Facing Homes,333.3333333333333
awadhpuri,awadhpuri,House,70.0,8750,2.0,East,3,3,2,800.0,,,,800.0,0,0,0,0,0,0,1,16,Green View Homes,266.6666666666667
nirupam royal palms,hoshangabad road,Flat,70.0,3111,3.0,,4,4,2,2250.08,2150.0,,,,0,0,0,0,0,1,0,51,Amenity Facing Homes,562.52
nirupam royal palms,hoshangabad road,House,120.0,12000,1.0,,4,4,3,1000.0,,,,1000.0,0,0,0,0,0,0,1,12,Green View Homes,250.0
urban river,bawadia kalan,House,75.0,7500,1.0,,3,3,2,1000.0,,,,1000.0,0,0,0,0,0,0,1,12,Green View Homes,333.3333333333333
agrawal sagar lakeview homes,ayodhya bypass,Flat,60.0,3896,5.0,North,3,3,3,1540.04,1540.0,,,,0,0,0,0,0,0,1,54,Green View Homes,513.3466666666667
sarvadharm colony,kolar road,Flat,32.0,3555,1.0,West,2,2,1,900.14,,,900.0,,1,0,0,1,0,0,2,4,Road Facing Homes,450.07
rkn nakshatra enclave,awadhpuri,Flat,35.0,3181,5.0,,3,2,1,1100.28,,1100.0,960.0,,0,0,0,0,0,0,1,29,Road Facing Homes,366.76
rajat bihar colony,bagmugaliya,House,135.0,11250,2.0,,3,4,1,1200.0,,,,1200.0,0,0,0,1,0,0,1,0,Road Facing Homes,400.0
ganga jamuna apartments,navi bagh,Flat,13.0,2015,1.0,West,2,1,0,645.16,645.0,,,,0,0,0,0,0,0,1,13,Road Facing Homes,322.58
globus coral woods,misrod,Flat,105.0,4823,6.0,East,4,4,2,2177.07,2177.0,,1400.0,,0,1,0,0,0,0,0,59,Premium Scenic Homes,544.2675
ishaan grand estate,misrod,House,49.0,4454,1.0,East,1,1,0,1100.13,,,1100.0,1100.0,0,0,0,0,0,0,1,4,Green View Homes,1100.13
crystal h singapore city,kolar road,Flat,11.0,1718,2.0,,1,2,2,640.28,640.0,,,,0,0,0,0,0,0,1,0,Road Facing Homes,640.28
sagar royal villas,hoshangabad road,Flat,39.0,3250,4.0,North-East,3,2,1,1200.0,,1200.0,,,0,0,0,0,0,0,1,59,Amenity Facing Homes,400.0
fast track heavens height,katara hills,Flat,58.0,3222,6.0,East,4,4,3,1800.12,2300.0,,1800.0,,0,0,0,0,0,1,1,59,Amenity Facing Homes,450.03
neerja nagar,bhopal,House,320.0,13333,1.0,,6,5,3,2400.06,,4000.0,2400.0,2100.0,1,1,0,1,1,0,0,0,Road Facing Homes,400.01
gautam nagar,central bhopal,House,220.00000000000003,12222,2.0,East,2,2,1,1800.03,,,,1800.0,0,0,0,0,0,0,1,0,Road Facing Homes,900.015
e 4 arera colony,arera colony,House,375.0,15625,1.0,,6,4,3,2400.0,,3050.0,2800.0,2400.0,1,1,1,1,0,0,0,69,Road Facing Homes,400.0
shrinath sheetal heights,misrod,Flat,35.0,2916,1.0,North,3,3,2,1200.27,1200.0,,1000.0,,0,0,0,0,0,0,1,59,Road Facing Homes,400.09
c-block,bhopal,Flat,8.0,1066,1.0,West,2,1,2,750.47,,,750.0,,0,0,0,0,0,0,1,5,Road Facing Homes,375.235
chinarr dream ct,misrod,Flat,23.0,3194,6.0,,2,2,1,720.1,,,720.0,,0,0,0,0,0,0,1,49,Green View Homes,360.05
globus fab city,chuna bhatti,House,325.0,19230,2.0,West,3,3,2,1690.07,,,,1690.0,0,0,0,0,0,0,2,4,Green View Homes,563.3566666666667
janki nagar,chuna bhatti,House,35.0,2333,2.0,,3,2,0,1500.21,,1500.0,,,0,0,0,0,0,0,1,0,Road Facing Homes,500.07
kolar road,kolar road,House,59.0,3471,2.0,West,3,3,0,1699.8,,1700.0,,,0,0,0,0,0,0,1,34,Premium Scenic Homes,566.6
girnar hills,awadhpuri,Flat,17.5,2755,5.0,,2,2,2,635.21,635.0,,,,0,0,0,0,0,1,1,33,Premium Scenic Homes,317.605
laharpur,bagmuliya,House,200.0,7500,2.0,North,9,9,3,2666.67,,5000.0,,2400.0,1,1,0,1,1,0,1,6,Road Facing Homes,296.2966666666667
fortune landmark,bawadia kalan,House,150.0,12083,2.0,North,4,4,1,1241.41,,2675.0,,1200.0,1,1,0,1,0,0,0,3,Green View Homes,310.3525
aashima royal city,hoshangabad road,Flat,43.0,2965,5.0,North,3,2,1,1450.25,1450.0,,,,0,0,0,0,0,0,1,40,Road Facing Homes,483.4166666666667
fortune tulip heights,chuna bhatti,Flat,14.0,2212,3.0,,2,1,1,632.91,,633.0,,,0,0,0,0,0,0,1,0,Road Facing Homes,316.455
housing board colony,shahjahanabad,House,350.0,11884,2.0,North-East,5,5,2,2945.14,,3946.0,,2945.0,1,1,1,1,0,0,1,16,Amenity Facing Homes,589.028
indra vihar residency,gandhinagar,Flat,35.0,3684,2.0,,2,1,1,950.05,,,950.0,,0,0,0,0,0,1,1,0,Road Facing Homes,475.025
fast track heavens height,katara hills,Flat,37.0,2892,2.0,East,3,2,3,1279.39,1279.0,,,,0,0,0,0,0,0,1,59,Green View Homes,426.46333333333337
hoshangabad,bhopal,House,36.0,4800,2.0,,2,2,1,750.0,,,,750.0,0,0,0,0,0,0,1,32,Road Facing Homes,187.5
signature 360,katara hills,Flat,44.0,1770,6.0,,4,4,3,2485.88,2485.0,1558.0,,,0,0,0,0,0,0,1,25,Amenity Facing Homes,621.47
