colony,property_type,price_outer,price_per_sqft,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
shahpura,House,180.0,8571,2.0,Old Property,5,4,3,2100.0,0,0,0,0,0,0,1,0,Road Facing Homes
salaiya,Flat,45.0,4245,4.0,New Property,3,2,0,824.0127347409097,0,0,0,0,0,0,1,25,Green View Homes
piplani,House,125.0,8333,2.0,Moderate Property,3,2,2,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes
central bhopal,Flat,225.0,11166,3.0,New Property,3,4,3,2418.0,0,1,0,0,0,0,1,35,Premium Scenic Homes
bagmugaliya,House,65.0,6632,3.0,Moderate Property,2,3,2,2000.0,0,0,0,0,0,0,2,13,Green View Homes
navi bagh,House,29.0,3222,1.0,New Property,3,2,0,900.0,0,0,0,0,0,0,1,3,Premium Scenic Homes
awadhpuri,House,35.0,4666,2.0,New Property,2,2,2,750.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
govindpura,Flat,31.5,3539,2.0,Moderate Property,3,2,2,950.0,0,0,1,0,0,0,0,55,Road Facing Homes
bhopal,House,150.0,6250,1.0,New Property,4,4,0,2880.0,0,0,0,0,0,0,1,0,Road Facing Homes
misrod,Flat,35.0,3500,2.0,Moderate Property,3,2,2,1200.0,0,0,0,0,0,0,1,45,Road Facing Homes
ayodhya bypass,Flat,30.5,2839,6.0,Moderate Property,3,3,2,1288.8,1,0,0,0,0,0,0,19,Green View Homes
salaiya,Flat,90.0,5142,6.0,New Property,3,2,3,1556.0,0,0,0,0,0,0,1,66,Amenity Facing Homes
gehu kheda,House,48.0,7666,2.0,New Property,3,3,1,1100.0,0,0,0,0,1,0,0,3,Road Facing Homes
katara hills,Flat,25.0,3846,2.0,Moderate Property,2,2,1,779.0,0,0,0,0,0,0,0,82,Green View Homes
hoshangabad road,House,42.0,5250,2.0,New Property,3,2,1,1350.0,1,0,0,1,0,0,1,9,Green View Homes
hoshangabad road,House,125.0,11061,2.0,New Property,4,4,3,2400.0,1,0,0,1,1,0,0,56,Premium Scenic Homes
katara hills,House,75.0,9615,2.0,New Property,3,3,2,780.0,0,0,0,0,0,0,1,71,Green View Homes
kolar road,Flat,29.85,2388,4.0,New Property,3,2,2,1500.0,0,0,0,0,0,0,1,43,Amenity Facing Homes
mahawadiya,Flat,21.0,1953,3.0,Old Property,3,2,1,876.0,0,0,0,0,0,1,1,12,Road Facing Homes
hoshangabad road,Flat,37.0,2850,1.0,New Property,2,2,2,1009.0269148053779,0,0,0,0,0,0,1,46,Amenity Facing Homes
bagmugaliya,Flat,38.0,2171,4.0,New Property,3,3,2,1360.3983828269734,0,0,0,0,0,0,0,59,Amenity Facing Homes
piplani,Flat,25.0,2777,3.0,Old Property,2,2,1,1080.0,0,0,0,0,0,0,1,0,Road Facing Homes
piplani,Flat,17.0,3090,1.0,Old Property,2,2,1,660.0,0,0,0,0,0,0,1,3,Road Facing Homes
gandhinagar,Flat,40.0,4255,1.0,New Property,3,2,1,1128.0,0,0,0,0,0,0,1,28,Amenity Facing Homes
shirdipuram,House,120.0,10454,2.0,New Property,4,4,2,1100.0,0,0,0,0,0,0,1,48,Green View Homes
bypass road,House,15.0,2727,1.0,Moderate Property,1,1,1,550.0,0,0,0,0,0,0,1,0,Road Facing Homes
bhopal,House,35.0,5833,1.0,New Property,2,2,1,1200.0,0,0,0,0,0,0,1,3,Road Facing Homes
awadhpuri,House,85.0,7391,3.0,Moderate Property,4,5,2,1150.0,0,0,0,1,0,0,1,4,Green View Homes
karond,House,95.0,2111,3.0,New Property,7,6,0,4500.0,0,0,0,0,0,0,1,4,Green View Homes
kolar road,House,80.0,5333,2.0,New Property,4,4,2,1500.0,0,0,0,0,0,0,1,13,Road Facing Homes
mandideep,Flat,25.0,3333,1.0,New Property,2,2,1,900.0,0,0,0,0,0,0,1,35,Amenity Facing Homes
misrod,House,110.0,10628,2.0,New Property,3,4,1,1600.0,0,0,0,1,0,0,0,7,Road Facing Homes
arera colony,House,135.0,10384,3.0,New Property,3,3,2,1300.0,0,1,0,1,0,0,1,9,Green View Homes
bhopal,Flat,35.0,3608,5.0,Moderate Property,2,2,1,1164.0,0,0,0,0,0,0,1,22,Amenity Facing Homes
awadhpuri,House,280.0,11666,3.0,Moderate Property,5,3,0,2400.0,0,0,0,0,0,0,1,4,Road Facing Homes
karond,House,75.0,7500,2.0,Moderate Property,2,1,0,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
shahpura,House,150.0,7692,2.0,Moderate Property,4,5,2,1950.0,0,0,0,0,1,0,0,9,Road Facing Homes
neelbad,House,50.0,3834,1.0,New Property,2,2,1,1564.8,0,0,0,0,0,0,1,42,Road Facing Homes
