pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"3 BHK Flat in Shivaji Nagar, Bhopal",Tulsi tower shivaji nagar bhopal,₹2.4 Cr,"₹10,434 /sqft",Ready To Move,"Looking for a 3 bhk + sarvent rooms attached latbath modular kitchen semi furnished apartment tulsi tower shivaji nagar bhopal property for sale in bhopal? Buy this 3 bhk flat in tulsi tower shivaji nagar bhopal that is situated in shivaji nagar, bhopal. Containing 3 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area of 2300 sq.Ft. The residential building has 12 floors in total and the flat for sale is located on the 9th floor. This 5-10 years old property is available for immediate possession as the project is ready to move.","Super Built up area 2300
(213.68 sq.m.)
Built Up area: 2110 sq.ft. (196.03 sq.m.)
Carpet area: 2100 sq.ft. (195.1 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 3 Balconies with Pooja Room,Servant Room,Study Room,Others","₹ 2.4 Crore
@ 10,434 per sq.ft. View Price Details","Tulsi tower shivaji nagar bhopal
Shivaji Nagar, Bhopal",9th   of 12 Floors,5 to 10 Year Old,"['4 Wardrobe', '5 Fan', '1 Exhaust Fan', '4 Geyser', '5 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-East,"Park/Garden,Club,Main Road,Sea facing,Others",
"3 BHK Flat in Pallavi Nagar, Bhopal",Priyadarshini Adhishthan,₹80 Lac,"₹3,883 /sqft",Ready To Move,3 bhk semi furnished flat for sale covered campus in bawadiya kalan,"Super Built up area 2060
(191.38 sq.m.)
Carpet area: 1700 sq.ft. (157.94 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 80 Lac
@ 3,883 per sq.ft. (Negotiable) View Price Details","Priyadarshini Adhishthan
Pallavi Nagar, Bhopal",5th   of 6 Floors,1 to 5 Year Old,"['3 Wardrobe', '6 Fan', '2 Geyser', '6 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Club,Pool,Park/Garden,Main Road",
"4 BHK Flat in MP Nagar, Bhopal",Keelandev Apartments,₹2 Cr,"₹9,237 /sqft",Ready To Move,For selling property available: 3bhk + sarvent rooms attached latbath modular kitchen semi furnished apartment floor - 4th floor and 2nd floor keelandav apartment shivaji nagar bhopal. Selling price 2 cr 4th floor and 2nd floor price 2 cr 45 lakhs fixed. Only genius parson contact me. Rp property.,"Super Built up area 2165
(201.14 sq.m.)
Built Up area: 2100 sq.ft. (195.1 sq.m.)
Carpet area: 2000 sq.ft. (185.81 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 3 Balconies with Pooja Room,Servant Room,Study Room,Others","₹ 2 Crore
@ 9,237 per sq.ft. View Price Details","Keelandev Apartments
MP Nagar, Bhopal",5th   of 10 Floors,1 to 5 Year Old,"['3 Wardrobe', '5 Fan', '1 Exhaust Fan', '2 Geyser', '7 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Main Road,Park/Garden,Club,Others,Sea facing",
"2 BHK Flat in Kolar Road, Bhopal",sai visal,₹24.99 Lac,"₹2,687 /sqft",Ready To Move,"2 bhk flat for sale near lotus hospital, kolar road, bhopal Bechna hai well-Designed 2 bhk flat in a prime apartment near lotus hospital, kolar road. Spacious layout with modern design Prime location hospitals, schools & markets nearby Safe & family-Friendly environment Clear title & ready for registry Location near lotus hospital, kolar road, bhopal Contact for more details & site visit","Super Built up area 930
(86.4 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony with Pooja Room,Others","₹ 24.99 Lac+ Govt Charges & Tax
@ 2,687 per sq.ft. (Negotiable) View Price Details","sai visal
Kolar Road, Bhopal",2nd   of 3 Floors,5 to 10 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",South-East,"Pool,Others,Park/Garden,Sea facing,Club,Main Road",
"3 BHK Flat in Bawadia Kalan, Bhopal",Drishti Enclave,₹56 Lac,"₹3,708 /sqft",Ready To Move,"Looking for a 3 bhk property for sale in bhopal? Buy this 3 bhk flat in drishti enclave that is situated in bawadia kalan, bhopal. This residential flat is east-Facing direction. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super built up area of 1510 sq.Ft. This flat lies on the 1st level of a 6 storey building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. The beautifully designed concrete flooring enhances the beauty of the flat. All the modern amenities such as fitness centre / gym, club house / community center and park will make life easier for you.","Super Built up area 1510
(140.28 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 56 Lac
@ 3,708 per sq.ft. (Negotiable) View Price Details","Drishti Enclave
Bawadia Kalan, Bhopal",1st   of 6 Floors,5 to 10 Year Old,"['1 Wardrobe', '1 Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Park/Garden,
"3 BHK Flat in Shiv Sangam Nagar, Bhopal",Soumya Parklands,₹31 Lac,"₹2,750 /sqft",Ready To Move,"Located in the popular residential address of shiv sangam nagar, bhopal, soumya parklands is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. This residential flat is east-Facing direction. The flat is over 1127 sq.Ft. Super built up area and comes with 3 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 6 floors and this property is situated on 3rd floor. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The flat comes well built with vitrified flooring options. Soumya parklands is designed very well to provide modern facilities such as fitness centre / gym, club house / community center, park, shopping centre, lift(s) and maintenance staff. The project provides a continuous supply of water to its flats.","Super Built up area 1127
(104.7 sq.m.)
Carpet area: 860 sq.ft. (79.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Others","₹ 31 Lac+ Govt Charges & Tax
@ 2,750 per sq.ft. View Price Details","Soumya Parklands
Shiv Sangam Nagar, Bhopal",3rd   of 6 Floors,5 to 10 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Others,Main Road",
"3 BHK Flat in Chuna Bhatti, Bhopal",D K Rainbow,₹70 Lac,"₹5,833 /sqft",Ready To Move,"As desired, following is the information of my flat available for sale ,d.K.Rainbow Chuna bhatti Opp.Gut hospital Main road Kolar road,bhopal","Super Built up area 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 70 Lac
@ 5,833 per sq.ft. View Price Details","D K Rainbow
Chuna Bhatti, Bhopal",2nd   of 3 Floors,10+ Year Old,"['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Park', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,Main Road,
"3 BHK Flat in Salaiya, Bhopal",Rudraksh Kasturi,₹58 Lac,"₹4,187 /sqft",Ready To Move,"This 3 bhk apartment is available for sale in rudraksh kasturi, one of the most prominent projects for flats in salaiya, bhopal. This property faces the east direction. Containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 1650 sq.Ft. The property is located on the 8th floor of a 10 floors tall building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. The society complex is in the close vicinity of close to school and close to hospital, making it an ideal home for a relaxed lifestyle. The society is well equipped with many modern amenities, including swimming pool, fitness centre / gym, club house / community center, park, lift(s), water softening plant, maintenance staff and visitor parking. The housing society ensures a continuous supply of water to your flat from municipal corporation.","Super Built up area 1750
(162.58 sq.m.)
Carpet area: 1385 sq.ft. (128.67 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 58 Lac
@ 4,187 per sq.ft. (Negotiable) View Price Details","Rudraksh Kasturi
Salaiya, Bhopal",1st   of 10 Floors,0 to 1 Year Old,[],"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Main Road,Park/Garden",
"3 BHK Flat in TT Nagar, Bhopal",Gammon Shrishti CBD,₹2.5 Cr,"₹11,532 /sqft",Ready To Move,For sale 3 bhk+ servent room flat is available for sale srishti cbd gammon india mall link road new market south tt nagar is a locality city in bhopal hotels market school temple top malls in south tt nagarbhopal is good option for bhopal.,"Super Built up area 2081
(193.33 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room,Pooja Room,Servant Room,Others","₹ 2.5 Crore+ Govt Charges & Tax
@ 11,532 per sq.ft. View Price Details","Gammon Shrishti CBD
TT Nagar, Bhopal",15th   of 22 Floors,0 to 1 Year Old,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North,"Pool,Club,Park/Garden,Main Road,Sea facing,Others",
"3 BHK Flat in Bagsewaniya, Bhopal",Yashoda Desire,₹60 Lac,"₹3,833 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in yashoda desire, a popular residential project that houses in-Demand flats in bagsewaniya, bhopal. This property faces the west direction. Containing 3 bedroom(s), 3 bathrooms and more than 3 balconies, this flat is spread over a carpet area of 1565 sq.Ft. This flat lies on the 1st level of a 6 storey building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Proximity to landmarks like close to hospital, close to school, close to market and close to railway station makes this an ideal property for families. The society is well equipped with many modern amenities, including maintenance staff, park, lift(s) and visitor parking. The housing society ensures a continuous supply of water to your flat from municipal corporation and borewell/tank.","Carpet area: 1565
(145.39 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies","₹ 60 Lac
@ 3,833 per sq.ft. View Price Details","Yashoda Desire
Bagsewaniya, Bhopal",1st   of 6 Floors,1 to 5 Year Old,"['3 Wardrobe', '1 Bed', '6 Fan', '1 Exhaust Fan', '2 Geyser', '8 Light', '1 Curtains', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,Park/Garden,
"6 BHK Flat in Kohefiza, Bhopal",Noor Us Sabah Residency,₹4.8 Cr,"₹13,872 /sqft",Ready To Move,For sale 6.5 bhk newly constructed penthouse bhopal top most location noor us sabah recidency kohefiza vip road bhopal Best rental services,"Super Built up area 3460
(321.44 sq.m.)  
sq.ft.","6 Bedrooms , 8 Bathrooms, 3+ Balconies with Pooja Room,Servant Room,Study Room,Others","₹ 4.8 Crore+ Govt Charges & Tax
@ 13,872 per sq.ft. View Price Details","Noor Us Sabah Residency
Kohefiza, Bhopal",5th   of 6 Floors,0 to 1 Year Old    View Construction Status,[],"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-West,"Pool,Club,Park/Garden,Main Road,Others,Sea facing",
"3 BHK Flat in MP Nagar, Bhopal",Vijay Stambh,₹1.41 Cr,"₹10,057 /sqft",Ready To Move,These are very good flat in vijay stambh mp nagar bhopal,"Carpet area: 1402
(130.25 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 1.41 Crore
@ 10,057 per sq.ft. View Price Details","Vijay Stambh
MP Nagar, Bhopal",8th   of 8 Floors,10+ Year Old,"['5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Main Road,Park/Garden,Others",
"5 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹1.2 Cr,"₹5,785 /sqft",Under Construction,These are very good flat in coral woods on hoshangabad road bhopal,"Built Up area: 2074
(192.68 sq.m.)  
sq.ft.","5 Bedrooms , 5 Bathrooms, 2 Balconies with Pooja Room","₹ 1.2 Crore
@ 5,785 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",Ground of 6 Floors,,"['5 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Pool,Others,Park/Garden,Club,Main Road",Oct 2027    View Construction Status
"4 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹87 Lac,"₹6,165 /sqft",Under Construction,This is a very nice flat in coral woods location on hoshangabad road.,"Built Up area: 1411
(131.09 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies with Servant Room","₹ 87 Lac
@ 6,165 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",1st   of 6 Floors,,"['4 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'False Ceiling Lighting', 'Separate entry for servant room', 'No open drainage around', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Club,Main Road,Pool,Others",Oct 2027    View Construction Status
"3 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹60 Lac,"₹5,730 /sqft",Under Construction,This is a very nice flat in coral woods location on hoshangabad road.,"Built Up area: 1047
(97.27 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Store Room","₹ 60 Lac
@ 5,730 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",3rd   of 6 Floors,,"['3 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Pool,Others,Park/Garden,Club,Main Road",May 2027    View Construction Status
"3 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹63 Lac,"₹5,748 /sqft",Under Construction,This is a very nice flat in coral woods location on hoshangabad road.,"Built Up area: 1096
(101.82 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room","₹ 63 Lac
@ 5,748 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",2nd   of 6 Floors,,"['3 Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Main Road,Club,Park/Garden,Pool,Others",Jun 2027    View Construction Status
"3 BHK Flat in Misrod, Bhopal",Globus Coral Woods,₹63 Lac,"₹5,753 /sqft",Under Construction,This is a very nice flat in coral woods location on hoshangabad road.,"Built Up area: 1095
(101.73 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 63 Lac
@ 5,753 per sq.ft. View Price Details","Globus Coral Woods
Misrod, Bhopal",1st   of 6 Floors,,"['3 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Separate entry for servant room', 'No open drainage around', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Club,Main Road,Pool,Others",Jul 2027    View Construction Status
"3 BHK Flat in Bawadia Kalan, Bhopal",Fortune Signature,₹90 Lac,"₹4,687 /sqft",Ready To Move,"Flat for sale in G type flat in *fortune signature* opposite pushpanjali hospital near axis bank , *bawadiyakalaan* *balcony towards club house and swimming pool, garden * Super built up area 1920 sqft semifurnished with moduler kichen Price 90 lakh","Super Built up area 1920
(178.37 sq.m.)  
sq.ft.","3 Bedrooms , 4 Bathrooms, 2 Balconies with Others","₹ 90 Lac
@ 4,687 per sq.ft. View Price Details","Fortune Signature
Bawadia Kalan, Bhopal",4th   of 6 Floors,5 to 10 Year Old,"['2 Wardrobe', '6 Fan', '7 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Pool,Main Road,Club",
"3 BHK Flat in Kolar Road, Bhopal",Agrawal Sagar Green Hills,₹74.99 Lac,"₹5,066 /sqft",Ready To Move,"This beautiful view of 3 bhk flat river facing in kolar road, bhopal is situated in agrawal sagar green hills, one of the popular residential society in bhopal. The flat occupies a super built up area of 1480 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The residential building has 6 floors in total and the flat for sale is located on the 4th floor. As the project is already ready to move, so you can easily move into this 1-5 years old property. The flat will offer a modern lifestyle as it is presented with many of the amenities such as fitness centre / gym, club house / community center, park and lift(s).","Super Built up area 1480
(137.5 sq.m.)
Carpet area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies with Others","₹ 74.99 Lac+ Govt Charges & Tax
@ 5,066 per sq.ft. View Price Details","Agrawal Sagar Green Hills
Kolar Road, Bhopal",4th   of 6 Floors,1 to 5 Year Old,[],"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Main Road,Pool",
"3 BHK Flat in Kolar Road, Bhopal",Danish Hills View,₹95 Lac,"₹4,318 /sqft",Under Construction,Luxurious 3bhk flat | 2200 sq.Ft | scenic hill view | spacious balcony | gated community,"Super Built up area 2200
(204.39 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3+ Balconies
View Floor Plan","₹ 95 Lac+ Govt Charges & Tax
@ 4,318 per sq.ft. (Negotiable)","Danish Hills View
Kolar Road, Bhopal",2nd   of 8 Floors,,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Park/Garden,Others",Apr 2028
"2 BHK Flat in Awadhpuri, Bhopal",Girnar Hills,₹16 Lac,"₹2,519 /sqft",Ready To Move,"Coverd campus,mandir ,swimming pool","Super Built up area 635
(58.99 sq.m.)
Carpet area: 530 sq.ft. (49.24 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 16 Lac
@ 2,519 per sq.ft. (Negotiable)","Girnar Hills
Awadhpuri, Bhopal",6th   of 6 Floors,10+ Year Old    View Construction Status,[],"['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Pool",
"3 BHK Flat in Hoshangabad Road, Bhopal",SARC Pacific Blue,₹48 Lac,"₹3,287 /sqft",Ready To Move,"Prime location danish nagar pacific blue 3 bhk Flat well maintain property, market near by","Carpet area: 1460
(135.64 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies with Pooja Room,Study Room,Servant Room,Others","₹ 48 Lac
@ 3,287 per sq.ft. (Negotiable) View Price Details","SARC Pacific Blue
Hoshangabad Road, Bhopal",4th   of 7 Floors,5 to 10 Year Old,"['2 Wardrobe', '3 Fan', '1 Exhaust Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",West,"Park/Garden,Club,Main Road",
"2 BHK Flat in Bawadia Kalan, Bhopal",Priyadarshini anisthan,₹70 Lac,"₹5,600 /sqft",Ready To Move,"This lovely 2 bhk apartment/flat in bawadia kalan is available for sale in one of bhopal's most popular projects, priyadarshini anisthan. The flat occupies a carpet area of 1250 sq.Ft. That consists of 2 bedrooms, 3 bathrooms and 2 balconies. The residential building has 6 floors in total and the flat for sale is located on the 5th floor. This 1-5 years old property is available for immediate possession as the project is ready to move. All the modern amenities such as shopping centre, maintenance staff, visitor parking and park will make life easier for you.","Carpet area: 1250
(116.13 sq.m.)  
sq.ft.","2 Bedrooms , 3 Bathrooms, 2 Balconies with Pooja Room","₹ 70 Lac
@ 5,600 per sq.ft. View Price Details","Priyadarshini anisthan
Bawadia Kalan, Bhopal",5th   of 6 Floors,1 to 5 Year Old,"['1 Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Park/Garden,Main Road",
