pname,society,price_outer,price_per_sqft,possesion,description,Area,Floor Number,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,Floor_On,Total_Floors,area
"3 BHK Flat in Hoshangabad Road, Bhopal",gmr golden palm,40.0,2807,Ready To Move,"3bhk flat is on hoshangabad road behind capital mall,it has a covered stilt and basement parking,temple,gym and club house inside society.","Super Built up area 1425
(132.39 sq.m.)
Built Up area: 1100 sq.ft. (102.19 sq.m.)  
sq.ft.",5th   of 6 Floors,East,1 to 5 Year Old,"['4 Fan', '1 Exhaust Fan', '5 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Pool,Park/Garden,Club,Main Road",3,3,3,Not Available,5,6,1425.01
"3 BHK Flat in Rohit Nagar, Bhopal",mahendra plaza,45.0,3208,Ready To Move,"We are the proud owners of this 3 bhk apartment available in mahendra plaza, rohit nagar, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 1340 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1340
(124.49 sq.m.)  
sq.ft.",3rd   of 3 Floors,NA,5 to 10 Year Old,,,Main Road,3,2,0,Not Available,3,3,1402.74
"2 BHK Flat in Bairagarh Chichali, Bhopal",vandana homes,19.0,2533,Ready To Move,"We have a apartment available for sale in kolar road, bhopal. Available at price of rs 19 lacs. It has super area of 750 sq ft. It has 2 bhk, 2 bathroom, 1 balcony.It is a freehold property","Super Built up area 750
(69.68 sq.m.)  
sq.ft.",1st   of 1 Floors,NA,1 to 5 Year Old,,,,2,2,1,Not Available,1,1,750.1
"3 BHK Flat in Hoshangabad Road, Bhopal",century heights,48.0,6153,Ready To Move,"Corner flat with ample of sunlight in all 3 bedroom with 2 bathroom, 3 balcony, 1150 super built-Up area, 780 carpet area, modular kitchen with chimney, one king size bed with two custom made almera. Society century heights, near efotel by sayaji, 700 m from hoshangabad road,","Super Built up area 1180
(109.63 sq.m.)
Carpet area: 780 sq.ft. (72.46 sq.m.)  
sq.ft.",6th   of 8 Floors,East,1 to 5 Year Old,"['1 Bed', '2 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,3,2,3,Not Available,6,8,780.11
"3 BHK Flat in Rasla Khedi, Bhopal",bm coral casa,34.95,2609,Ready To Move,"Situated at prime location, hospital, college, school within one km range, air port about 15 minute drive. Project -Coral casa apartment , flat at sixth floor","Super Built up area 1150
(106.84 sq.m.)  
sq.ft.",6th   of 6 Floors,NA,1 to 5 Year Old,,,Park/Garden,3,2,1,Not Available,6,6,1339.59
"3 BHK Flat in Kolar Road, Bhopal",janki apartments,37.0,2960,Ready To Move,Prime front facing property with a complete view of the society and main road,"Built Up area: 1250
(116.13 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.",5th   of 6 Floors,NA,5 to 10 Year Old,"['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,2,2,Not Available,5,6,1250.0
"2 BHK Flat in Gandhinagar, Bhopal",maharishi patanjali parisar,13.5,2250,Ready To Move,"Flat near by airport 2 km, rgpv 1 km, nursing college 500 meter, local bus stand 800 meter. Railway station 8 km. Main market 2 km. New earth quake resistant property ready to move. Payment recieved only by bank draft.","Built Up area: 600
(55.74 sq.m.)  
sq.ft.",4th   of 4 Floors,East,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water purifier', 'Park', 'Maintenance Staff', 'Visitor Parking', 'Water Storage', 'Security Personnel', 'Bank Attached Property', 'Waste Disposal', 'Rain Water Harvesting']","Park/Garden,Main Road",2,1,1, others,4,4,600.0
"2 BHK Flat in Gandhinagar, Bhopal",rishikesh nirmaan the bellaire mint,30.0,4000,Ready To Move,"Corner flat, entry from east side, additional balcony facing garden and road..","Super Built up area 1060
(98.48 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.",6th   of 7 Floors,East,5 to 10 Year Old,,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting']","Park/Garden,Main Road",2,2,3,Not Available,6,7,750.0
"3 BHK Flat in Hoshangabad Road, Bhopal",fortune divine city,44.0,4631,Ready To Move,"We are the proud owners of this 3 bhk apartment available in fortune divine city, hoshangabad road, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 950 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 950
(88.26 sq.m.)  
sq.ft.",4th   of 6 Floors,NA,5 to 10 Year Old,,,,3,2,0,Not Available,4,6,950.12
"3 BHK Flat in Katara Hills, Bhopal",macker silver estate vertica,55.0,4515,Ready To Move,"2436 sq.Ft penthouse , semifurnished with cupboards, cabinets, bed; Well furnished including all interior; All balconies and terrace secured by steel railing; Swimming pool at terrace; Alotted parking space in closed campus; 20 min distance from rani kamlapati railway station; 15min distance from aiims, bhopal","Built Up area: 2436
(226.31 sq.m.)
Carpet area: 1218 sq.ft. (113.16 sq.m.)  
sq.ft.",6th   of 6 Floors,NA,1 to 5 Year Old,"['2 Bed', '3 Wardrobe', '4 Fan', '1 Exhaust Fan', '10 Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","Main Road,Pool,Park/Garden,Club",3,3,2, pooja room,6,6,1218.16
"4 BHK Flat in Shirdipuram, Bhopal",agrawal sagar premium towers,72.0,4000,Ready To Move,"Looking for a 4 bhk property for sale in bhopal? Buy this 4 bhk flat in agrawal sagar premium towers that is situated in shirdipuram, bhopal. The flat is east-Facing. Constructed on a super built up area of 1995 sq.Ft., the flat comprises 4 bedroom(s), 3 bathrooms and 1 balcony. The property is located on the lower ground floor of a 7 floors tall building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The beautifully designed others flooring enhances the beauty of the flat. The society is well equipped with many modern amenities, including swimming pool, club house / community center, fitness centre / gym, park and lift(s).","Super Built up area 1800
(167.23 sq.m.)  
sq.ft.",1st   of 7 Floors,East,5 to 10 Year Old,,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,4,3,1,Not Available,1,7,1800.0
"4 BHK Flat in Bypass Road, Bhopal",dwarka dham,55.0,2938,Ready To Move,"4 bath, unfurnished, 2nd floor (Of 5), dwarka dham bhopal bypass road","Built Up area: 1872
(173.91 sq.m.)  
sq.ft.",2nd   of 2 Floors,NA,,,,,4,4,0,Not Available,2,2,1872.02
"4 BHK Flat in Shirdipuram, Bhopal",agrawal sagar premium towers,75.0,4411,Ready To Move,"4bhk corner flat (Penthouse) with 900 sq.Ft personal terrace , Total 2600sq.Ft = 1700sq.Ft super built up area + 900sq.Ft terrace","Super Built up area 1700
(157.94 sq.m.)
Carpet area: 1291 sq.ft. (119.94 sq.m.)  
sq.ft.",7th   of 7 Floors,NA,5 to 10 Year Old,"['1 Wardrobe', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",,4,3,1,Not Available,7,7,1700.29
"3 BHK Flat in Barkhedi, Bhopal",mahalaxmi awasiy parisar,55.0,3928,Ready To Move,2 bhk new spacious ready to move flat for sale Prime location of central bhopal Nearby pul bogda metro junction Situated on main 100 ft wide road,"Super Built up area 1500
(139.35 sq.m.)
Built Up area: 1450 sq.ft. (134.71 sq.m.)
Carpet area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.",3rd   of 10 Floors,East,0 to 1 Year Old,,,"Park/Garden,Main Road,Club",3,2,1,Not Available,3,10,1400.2
"3 BHK Flat in Ayodhya Bypass , Bhopal",agrawal sagar lakeview homes,69.0,4162,Ready To Move,"For sale: A pristine, unused 3bhk apartment in the esteemed sagar lakeview homes, ayodhya bypass, bhopal. This semi-Furnished residence boasts a luxurious interior with exquisite lighting, sliding-Door cupboards, and an additional storeroom. There are four spacious balconies. The community offers an array of amenities including a clubhouse, swimming pools, sports facilities, a garden, a community hall, and a dedicated play area for kids. Located in a safe urban area with 24/7 cctv surveillance and a gated entrance, this apartment combines elegance and security for a perfect living experience.","Super Built up area 1802
(167.41 sq.m.)  
sq.ft.",3rd   of 6 Floors,NA,5 to 10 Year Old,"['4 Wardrobe', '1 Exhaust Fan', '12 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Pool,Park/Garden,Club,Main Road",3,3,3, store room,3,6,1657.86
"2 BHK Flat in Katara Hills, Bhopal",asnani spring valley dew,29.5,2166,Ready To Move,"Ready to move all aminities avalable spring velly katara hills, bhopal, madhya pradesh, india","Carpet area: 1200
(111.48 sq.m.)  
sq.ft.",3rd   of 6 Floors,North-West,0 to 1 Year Old    View Construction Status,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,2,0,Not Available,3,6,1361.96
"2 BHK Flat in Nehru Nagar , Bhopal",lig flats,25.0,5000,Ready To Move,Covered campus well maintained colony,"Carpet area: 500
(46.45 sq.m.)  
sq.ft.",Ground of 3 Floors,NA,10+ Year Old,,,,2,2,0,Not Available,0,3,500.0
"2 BHK Flat in Hoshangabad Road, Bhopal",fortune divine city,39.0,4362,Ready To Move,"2bhk flat 2 balconies 2 bathroom, indian and western Safety door Modular kitchen Wardrobe in both the bedrooms Gas connection with stove Refrigerator Sofa East facing","Super Built up area 894
(83.06 sq.m.)  
sq.ft.",6th   of 6 Floors,East,1 to 5 Year Old,"['3 Fan', '3 Light', '1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Club house / Community Center', 'Rain Water Harvesting']",Park/Garden,2,2,2,Not Available,6,6,894.09
"3 BHK Flat in Indus Towne, Bhopal",british park,42.0,2228,Ready To Move,"3 bath, semi-Furnished, 5th floor (Of 8), 53 car parking, british park rm 053.","Built Up area: 1885
(175.12 sq.m.)
Carpet area: 1750 sq.ft. (162.58 sq.m.)  
sq.ft.",5th   of 8 Floors,NA,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,3,3,3,Not Available,5,8,1885.1
"2 BHK Flat in Chowki Talaiya, Bhopal",kaushal apartment,35.0,4861,Ready To Move,As property is available in posh area so everything is near,"Carpet area: 720
(66.89 sq.m.)  
sq.ft.",4th   of 5 Floors,East,1 to 5 Year Old,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Geyser', '15 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '2 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Stove']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage']",Main Road,2,2,1,Not Available,4,5,720.02
"1 BHK Flat in Awadhpuri, Bhopal",pink homes,14.0,3500,Ready To Move,Residential apartment for sell.The property has 1 bedroom with 1 bathroom .It is a unfurnished property.Located in awadhpuri.Available at an expected price of rs 1400000.Located on ground floor out of the 3 the property comes with a good construction quality which ages 1-5 years old property near market bus stop . Can be used for commercial use,"Super Built up area 400
(37.16 sq.m.)  
sq.ft.",Ground of 3 Floors,NA,1 to 5 Year Old,,,,1,1,0,Not Available,0,3,400.0
"3 BHK Flat in Kolar Road, Bhopal",ultimate campus,35.0,2333,Ready To Move,"Urgent sale corner flat in covered campus. Hospitals: 1 km, airport: 18 kms, atm : 1 kms, railway station : 5 kms, school: 1 kms, shopping mall : 1 kms","Carpet area: 1500
(139.35 sq.m.)  
sq.ft.",4th   of 4 Floors,East,5 to 10 Year Old,,"['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Park', 'Security Personnel', 'Airy Rooms', 'Shopping Centre', 'Rain Water Harvesting']","Park/Garden,Main Road",3,2,2,Not Available,4,4,1500.21
"2 BHK Flat in Patel Nagar, Bhopal",archana balaji towers,20.0,2928,Ready To Move,"This 2 bhk flat is available for sale in archana balaji towers, one of the most prominent projects for residential apartments in kolar road, bhopal. The flat is over super built up area of 683 sq.Ft. And comes with 2 bathrooms and 2 balconies. This flat is situated on the 3rd floor of this 4 floor tall residential building. An added advantage of this 5-10 year(s) old apartment is that it is available for immediate possession as the project is already ready to move.","Super Built up area 683
(63.45 sq.m.)  
sq.ft.",3rd   of 4 Floors,NA,5 to 10 Year Old,,,,2,2,2,Not Available,3,4,683.06
"2 BHK Flat in Kolar Road, Bhopal",sai deep apartment,22.0,2625,Ready To Move,Urgent residential apartment for sell. (On benazir college 80 ft road) Located on kolar road behind lotus hospital. 2 bedrooms with 2 bathrooms. Gated entry wih cctv cameras.,"Super Built up area 800
(74.32 sq.m.)
Built Up area: 725 sq.ft. (67.35 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.",3rd   of 4 Floors,North,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Water Storage', 'Recently Renovated', 'Natural Light', 'Airy Rooms', 'Rain Water Harvesting']","Park/Garden,Main Road",2,2,2,Not Available,3,4,838.1
"3 BHK Flat in Hoshangabad Road, Bhopal",aryavrat british park,55.0,3543,Ready To Move,Ready to move. No one lived so far after taking handover. Branded new property first hand.,"Super Built up area 1690
(157.01 sq.m.)
Built Up area: 1286 sq.ft. (119.47 sq.m.)  
sq.ft.",9th   of 11 Floors,NA,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,3,3,3,Not Available,9,11,1552.36
"1 BHK Flat in Sonagiri, Bhopal",century apartment songri,14.5,223,Ready To Move,Payment only case because faniance is not possible,"Carpet area: 6500
(603.87 sq.m.)  
sq.ft.",3rd   of 3 Floors,NA,10+ Year Old,"['1 Wardrobe', '2 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,1,1,1,Not Available,3,3,6502.24
"2 BHK Flat in Malviya Nagar, Bhopal",jeevan sagar apartment,50.0,6666,Ready To Move,"A 2 bhk flat ideal for small family/ commercial use/ students located at the prime location of malviya nagar, in the heart of bhopal is available. Aesthetically designed, the property has built in wardrobes, store room, pooja room, surrounded by posh commercial establishments. Location is the unique factor of the property. 1 km from new market, infront of raj bhawan due to which electricity power cuts hardly happen. Walk-In distance from birla mandir, raj bhawan, new market, hospital nearby, gym e.T.C. Fully maintained property and ready to move equipped with wardrobes, study table, bed e.T.C.","Built Up area: 750
(69.68 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.",1st   of 3 Floors,East,10+ Year Old,"['1 Bed', '5 Wardrobe', '8 Fan', '3 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Feng Shui / Vaastu Compliant'],,2,2,2," pooja room,others",1,3,750.08
"3 BHK Flat in Misrod, Bhopal",fourtune divin city,41.0,4505,Ready To Move,"We are the proud owners of this 3 bhk apartment available in fortune divine city phase ii, misrod, . This semi-Furnished apartment is a 1-5 year old, priced approximately at rs. 4505per sq. Ft. Or rs. 41 lakhs. It is a resale and a ready to move in apartment. The unit is located on the 4th floor and has a super built-Up area of 910. 0 sq. Ft. It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type. The apartment has 1 covered parking.","Super Built up area 910
(84.54 sq.m.)  
sq.ft.",4th   of 6 Floors,NA,1 to 5 Year Old,"['2 Wardrobe', '4 Fan', '1 Exhaust Fan', '8 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,2,2,Not Available,4,6,910.1
"2 BHK Flat in Katara Hills, Bhopal",amaltas hill view society,25.5,2931,Ready To Move,"Property at prime location with covered parking, lift, security guard below is the sbi atm and shopping center. Presently property is on monthly rent of rs 7000/-. Property is free hold & owner shifted to panchkula, my mobile no. (Nine double eight double two zero nine eight five four)","Super Built up area 925
(85.94 sq.m.)
Built Up area: 870 sq.ft. (80.83 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.",3rd   of 3 Floors,North-West,5 to 10 Year Old,"['2 Bed', '3 Wardrobe', '3 Fan', '1 Sofa', '1 Dining Table', '5 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Waste Disposal']",Main Road,2,2,2,Not Available,3,3,870.01
"2 BHK Flat in Mandideep, Bhopal",indus realty,15.0,1428,Ready To Move,"Good property at the starting of mandideep. On ground floor. Facing play ground. Separate and dedicated parking facility. 24 hrs security. Ample parking space for visitors. Children play area. 24 hrs water and electricity. Close to market, hospital, schools, major factories and station is also nearby. Near eicher tractors and crompton greaves.","Super Built up area 1050
(97.55 sq.m.)
Built Up area: 950 sq.ft. (88.26 sq.m.)
Carpet area: 650 sq.ft. (60.39 sq.m.)  
sq.ft.",Ground of 5 Floors,NA,1 to 5 Year Old,,"['Feng Shui / Vaastu Compliant', 'Visitor Parking', 'Park', 'Security Personnel', 'Maintenance Staff']",,2,2,1,Not Available,0,5,1050.42
"3 BHK Flat in Kolar Road, Bhopal",agrawal sagar green hills,62.0,4189,Ready To Move,Spacious and comfortable flat on a hill top surrounded by nature. Good amenities in the society,"Super Built up area 1480
(137.5 sq.m.)
Carpet area: 1070 sq.ft. (99.41 sq.m.)  
sq.ft.",2nd   of 6 Floors,West,1 to 5 Year Old,"['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '1 Geyser', '12 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",Others,3,3,3,Not Available,2,6,1480.07
"2 BHK Flat in Misrod, Bhopal",fortune soumya heritage,23.9,3292,Ready To Move,"All things are available, its a fully furnished flat","Super Built up area 940
(87.33 sq.m.)
Carpet area: 726 sq.ft. (67.45 sq.m.)  
sq.ft.",6th   of 6 Floors,East,1 to 5 Year Old    View Construction Status,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '1 Geyser', '1 Stove', '10 Light', '1 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '1 Bed', '5 Wardrobe', '1 Sofa', '1 Washing Machine', 'No Microwave']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","Pool,Park/Garden,Others,Main Road,Club",2,2,2,Not Available,6,6,726.0
"2 BHK Flat in Hoshangabad Road, Bhopal",metro ashiyana,35.0,3286,Ready To Move,"We are the proud owners of this 2 bhk apartment available in metro ashiyana, hoshangabad road, bhopal. This it is a and the unit is located on 5th floor and has a super built-Up area of 1065 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1065
(98.94 sq.m.)  
sq.ft.",5th   of 6 Floors,North-East,1 to 5 Year Old,,,"Park/Garden,Main Road",2,2,1,Not Available,5,6,1065.12
"3 BHK Flat in Bawadia Kalan, Bhopal",drishti enclave,54.9,3635,Ready To Move,Near expol college and aura mall property is located in a good location.,"Super Built up area 1510
(140.28 sq.m.)
Built Up area: 1088 sq.ft. (101.08 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.",3rd   of 4 Floors,East,10+ Year Old,,"['Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,3,3,1,Not Available,3,4,1510.32
"4 BHK Flat in Shirdipuram, Bhopal",western courtyard,95.0,4691,Ready To Move,Flat for sale 4bhk + 4 toilet Semifurnished Super built up -2025 sq ft West facing entrance East facing balcony Resale price -95 lac,"Super Built up area 2025
(188.13 sq.m.)  
sq.ft.",4th   of 8 Floors,NA,1 to 5 Year Old,"['2 Wardrobe', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Fitness Centre / GYM', 'Club house / Community Center']",,4,4,1, others,4,8,2025.15
"3 BHK Flat in Kolar Road, Bhopal",janki apartments,45.0,3396,Ready To Move,"Three layer moduler kitchen, grill covered big balcony, extra water storage tank for emergency and auto washing machine, storages in all rooms,decorated hall, additional safety door,well maintained & recently coloured. Absolutely ready to move. Noc from sbi and loan repaid within 3 years once taken. Its on ""b"" block facing society's entry point with open east & north side.The roof top usable for ac outer units. Two ac switchboards & inverter connection already available. Geyser connections and water mixtures at both the bathrooms with europeon commode. Many additional switches installed. One covered parking.","Carpet area: 1325
(123.1 sq.m.)  
sq.ft.",6th   of 7 Floors,NA,5 to 10 Year Old,"['4 Fan', '1 Exhaust Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Recently Renovated', 'Visitor Parking', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting']","Park/Garden,Main Road",3,2,2, store room,6,7,1325.09
"4 BHK Flat in Misrod, Bhopal",globus coral woods,87.0,5605,Under Construction,This is a very nice flat in coral woods location on hoshangabad road.,"Super Built up area 1552
(144.19 sq.m.)  
sq.ft.",2nd   of 6 Floors,NA,,"['4 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']","Pool,Others,Park/Garden,Club,Main Road",4,4,2, servant room,2,6,1552.19
"2 BHK Flat in Rajharsh Colony, Bhopal",navaakar parke serene,25.0,3125,Ready To Move,"We are the proud owners of this 2 bhk apartment available in navaakar parke serene, rajharsh colony, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 800 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 800
(74.32 sq.m.)  
sq.ft.",4th   of 5 Floors,NA,5 to 10 Year Old,,,,2,2,0,Not Available,4,5,800.0
