colony,property_type,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,servant room,store room,furnishing_type,Overlooking_Categories,luxury_category,price
32.0,1.0,2.0,0.0,3,2,2,1500.0,0,0,1,3.0,1.0,125.0
12.0,0.0,3.0,1.0,3,4,3,2418.0,1,0,1,2.0,2.0,225.0
6.0,1.0,3.0,0.0,2,3,2,2000.0,0,0,2,1.0,1.0,65.0
27.0,1.0,1.0,1.0,3,2,0,900.0,0,0,1,2.0,1.0,29.0
3.0,1.0,2.0,1.0,2,2,2,750.0,0,0,1,0.0,2.0,35.0
16.0,0.0,2.0,0.0,3,2,2,950.0,0,1,0,3.0,2.0,31.5
10.0,1.0,1.0,1.0,4,4,0,2880.0,0,0,1,3.0,1.0,150.0
26.0,0.0,2.0,0.0,3,2,2,1200.0,0,0,1,3.0,2.0,35.0
4.0,0.0,6.0,0.0,3,3,2,1288.8,0,0,0,1.0,1.0,30.5
33.0,0.0,6.0,1.0,3,2,3,1556.0,0,0,1,0.0,2.0,90.0
15.0,1.0,2.0,1.0,3,3,1,1100.0,0,0,0,3.0,1.0,48.0
20.0,0.0,2.0,0.0,2,2,1,779.0,0,0,0,1.0,2.0,25.0
18.0,1.0,2.0,1.0,3,2,1,1350.0,0,0,1,1.0,1.0,42.0
18.0,1.0,2.0,1.0,4,4,3,2400.0,0,0,0,2.0,2.0,125.0
20.0,1.0,2.0,1.0,3,3,2,780.0,0,0,1,1.0,2.0,75.0
22.0,0.0,4.0,1.0,3,2,2,1500.0,0,0,1,0.0,2.0,29.85
24.0,0.0,3.0,2.0,3,2,1,876.0,0,0,1,3.0,1.0,21.0
18.0,0.0,1.0,1.0,2,2,2,1009.026914805378,0,0,1,0.0,2.0,37.0
6.0,0.0,4.0,1.0,3,3,2,1360.3983828269734,0,0,0,0.0,2.0,38.0
32.0,0.0,3.0,2.0,2,2,1,1080.0,0,0,1,3.0,1.0,25.0
32.0,0.0,1.0,2.0,2,2,1,660.0,0,0,1,3.0,1.0,17.0
14.0,0.0,1.0,1.0,3,2,1,1128.0,0,0,1,0.0,2.0,40.0
36.0,1.0,2.0,1.0,4,4,2,1100.0,0,0,1,1.0,2.0,120.0
11.0,1.0,1.0,0.0,1,1,1,550.0,0,0,1,3.0,1.0,15.0
10.0,1.0,1.0,1.0,2,2,1,1200.0,0,0,1,3.0,1.0,35.0
3.0,1.0,3.0,0.0,4,5,2,1150.0,0,0,1,1.0,1.0,85.0
19.0,1.0,3.0,1.0,7,6,0,4500.0,0,0,1,1.0,1.0,95.0
22.0,1.0,2.0,1.0,4,4,2,1500.0,0,0,1,3.0,1.0,80.0
25.0,0.0,1.0,1.0,2,2,1,900.0,0,0,1,0.0,2.0,25.0
26.0,1.0,2.0,1.0,3,4,1,1600.0,0,0,0,3.0,1.0,110.0
1.0,1.0,3.0,1.0,3,3,2,1300.0,1,0,1,1.0,1.0,135.0
10.0,0.0,5.0,0.0,2,2,1,1164.0,0,0,1,0.0,1.0,35.0
3.0,1.0,3.0,0.0,5,3,0,2400.0,0,0,1,3.0,1.0,280.0
19.0,1.0,2.0,0.0,2,1,0,1000.0,0,0,1,3.0,1.0,75.0
35.0,1.0,2.0,0.0,4,5,2,1950.0,0,0,0,3.0,1.0,150.0
28.0,1.0,1.0,1.0,2,2,1,1564.8,0,0,1,3.0,2.0,50.0
10.0,1.0,2.0,2.0,3,2,0,1358.0,0,0,1,1.0,1.0,70.0
18.0,1.0,2.0,1.0,4,4,0,1108.0,0,0,1,0.0,1.0,250.0
32.0,1.0,2.0,2.0,8,5,3,2760.0,0,0,1,3.0,1.0,450.0
14.0,0.0,4.0,1.0,2,1,1,600.0,0,0,1,1.0,2.0,13.5
4.0,1.0,3.0,2.0,5,4,3,3690.0,1,0,0,3.0,2.0,209.0
3.0,0.0,1.0,0.0,2,2,0,900.0,0,0,1,3.0,1.0,22.0
36.0,0.0,4.0,0.0,4,4,0,1500.0,0,0,1,3.0,2.0,85.0
8.0,1.0,3.0,0.0,3,2,0,1200.0,0,0,1,3.0,1.0,42.0
26.0,1.0,2.0,1.0,3,3,1,810.0,0,0,1,3.0,1.0,70.0
29.0,1.0,2.0,1.0,2,2,1,800.0,0,0,1,1.0,1.0,25.0
3.0,0.0,4.0,1.0,2,2,1,742.8,0,0,1,1.0,1.0,22.0
33.0,0.0,7.0,1.0,3,3,2,1375.0,0,0,1,1.0,2.0,57.0
34.0,1.0,2.0,2.0,6,6,1,5200.0,0,0,2,3.0,1.0,250.0
22.0,0.0,3.0,2.0,1,1,2,233.21115134176688,0,0,1,3.0,1.0,20.0
12.0,0.0,8.0,1.0,4,5,3,1962.8605237932045,1,0,1,0.0,2.0,315.0
15.0,0.0,5.0,1.0,2,2,3,825.0,0,0,1,0.0,2.0,22.0
22.0,0.0,2.0,0.0,2,2,2,743.0,0,0,0,3.0,1.0,17.0
18.0,0.0,2.0,0.0,3,3,2,1462.0,0,0,0,0.0,2.0,50.0
4.0,1.0,2.0,0.0,3,3,1,1035.0,0,0,1,3.0,1.0,95.0
10.0,1.0,2.0,2.0,4,3,1,1500.0,0,0,1,3.0,1.0,235.0
18.0,0.0,5.0,1.0,2,2,1,827.8995872632723,0,0,1,1.0,1.0,35.0
18.0,0.0,4.0,2.0,2,2,1,767.0,0,0,1,1.0,2.0,27.0
18.0,0.0,6.0,0.0,2,2,1,1006.0,0,0,0,0.0,2.0,33.0
26.0,0.0,5.0,0.0,3,2,1,971.7131305906952,0,0,0,0.0,2.0,35.0
23.0,0.0,2.0,1.0,2,2,1,900.0,0,0,1,1.0,1.0,26.0
14.0,0.0,3.0,1.0,2,2,3,900.0,0,0,1,0.0,0.0,35.0
0.0,0.0,1.0,2.0,3,2,0,1200.0,0,0,1,3.0,1.0,50.0
26.0,0.0,6.0,0.0,3,4,2,1350.0,0,0,1,3.0,1.0,38.0
33.0,1.0,2.0,0.0,4,4,2,2000.0,0,0,1,0.0,1.0,200.0
3.0,0.0,4.0,2.0,3,2,2,1127.0,0,0,0,3.0,2.0,30.0
16.0,0.0,9.0,1.0,4,5,3,2094.0,1,0,2,0.0,2.0,170.0
13.0,0.0,1.0,2.0,2,2,0,750.0,0,0,1,3.0,1.0,17.0
10.0,1.0,1.0,2.0,2,2,2,900.0,0,0,1,3.0,1.0,30.0
6.0,0.0,5.0,1.0,4,4,2,1399.2669080506012,0,0,0,0.0,2.0,75.0
35.0,0.0,4.0,2.0,2,2,2,840.0,0,0,1,1.0,2.0,31.0
30.0,1.0,2.0,0.0,5,6,3,1800.0,1,0,1,0.0,1.0,128.0
9.0,0.0,6.0,1.0,3,3,2,1589.0,0,0,0,2.0,2.0,68.0
9.0,1.0,3.0,3.0,7,8,3,2906.0,1,1,1,3.0,1.0,500.0
29.0,1.0,2.0,1.0,4,2,2,900.0,0,0,1,3.0,1.0,48.0
25.0,1.0,2.0,0.0,5,7,2,1600.0,1,0,1,3.0,1.0,82.0
7.0,0.0,5.0,0.0,3,2,2,1260.0,0,0,1,0.0,2.0,45.0
