pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Facing,Property Age,furnishing,features,ratings,Overlooking,Possession in
"2 BHK Flat in Airport Road, Bhopal",Indra Vihar Residency,₹25 Lac,"₹3,333 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in indra vihar residency, airport road, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,333 per sq.ft.","Indra Vihar Residency
Airport Road, Bhopal",Ground of 2 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Jatkhedi, Bhopal",Shri Balaji Swastik Grand,₹40 Lac,"₹2,162 /sqft",Ready To Move,Flat for sale at hoshangabad roads prime location at affordable price,"Carpet area: 1850
(171.87 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Study Room,Pooja Room","₹ 40 Lac+ Govt Charges & Tax
@ 2,162 per sq.ft. (Negotiable)","Shri Balaji Swastik Grand
Jatkhedi, Bhopal",4th   of 4 Floors,,1 to 5 Year Old,[],"['High Ceiling Height', 'Swimming Pool', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']",[],,
"2 BHK Flat in Gurunanak Pura, Bhopal",Bhagwan Enclave Phase 2,₹25 Lac,"₹5,555 /sqft",Ready To Move,2 bhk flat for sale and rent both purpose Centre point of bhopal Behind capital petrol pump near prabhat petrol pump,"Carpet area: 450
(41.81 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 5,555 per sq.ft.","Bhagwan Enclave Phase 2
Gurunanak Pura, Bhopal",3rd   of 3 Floors,East,10+ Year Old,"['1 Wardrobe', '1 Water Purifier', '3 Fan', '2 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",['Visitor Parking'],[],,
"3 BHK Flat in Misrod, Bhopal",Shrinath Sheetal Heights,₹35 Lac,"₹2,916 /sqft",Ready To Move,"Looking for a 3 bhk property for sale in bhopal? Buy this 3 bhk flat in shrinath sheetal heights that is situated in misrod, bhopal. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a carpet area of 1200 sq.Ft. The residential building has 7 floors in total and the flat for sale is located on the 2nd floor. This 1-5 years old property is available for immediate possession as the project is ready to move.","Carpet area: 1200
(111.48 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 35 Lac+ Govt Charges & Tax
@ 2,916 per sq.ft. (Negotiable)","Shrinath Sheetal Heights
Misrod, Bhopal",2nd   of 7 Floors,,1 to 5 Year Old,[],"['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Katara Hills, Bhopal",Signature 360,₹42 Lac,"₹3,333 /sqft",Ready To Move,"This lovely 3 bhk apartment/flat in katara hills is available for sale in one of bhopal's most popular projects, signature 360. This property faces the south-East direction. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1260 sq.Ft. The residential building has 6 floors in total and the flat for sale is located on the 1st floor. As the project is already ready to move, so you can easily move into this 5-10 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. The society is well equipped with many modern amenities, including fitness centre / gym, club house / community center, park, lift(s) and maintenance staff. The housing society ensures a continuous supply of water to your flat from borewell/tank.","Super Built up area 1260
(117.06 sq.m.)
Built Up area: 902 sq.ft. (83.8 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 42 Lac+ Govt Charges & Tax
@ 3,333 per sq.ft. (Negotiable) View Price Details","Signature 360
Katara Hills, Bhopal",1st   of 6 Floors,South-East,5 to 10 Year Old,"['5 Fan', '1 Exhaust Fan', '3 Geyser', '17 Light', '1 Curtains', '1 TV', '1 Chimney', '2 AC', '1 Modular Kitchen', '1 Bed', '3 Wardrobe', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Club,Park/Garden,Main Road,Others",
"2 BHK Flat in Katara Hills, Bhopal",Asnani Spring Valley Dew,₹38 Lac,"₹6,119 /sqft",Ready To Move,"This 2 bhk apartment is available for sale in asnani spring valley dew, one of the most prominent projects for flats in katara hills, bhopal. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a built up area of 621 sq.Ft. This flat lies on the 1st level of a 6 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The society is well equipped with many modern amenities, including fitness centre / gym, park, club house / community center, cctv surveillance and lift(s).","Built Up area: 621
(57.69 sq.m.)
Carpet area: 588 sq.ft. (54.63 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 38 Lac
@ 6,119 per sq.ft.","Asnani Spring Valley Dew
Katara Hills, Bhopal",1st   of 6 Floors,,1 to 5 Year Old    View Construction Status,[],"['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Ashoka Garden, Bhopal","Glorious Tower, Samrat Colony",₹17 Lac,"₹3,238 /sqft",Ready To Move,Hi i am the property owner this property is best property and freehold ready to move . This property is very beautiful and compeletly good environment.,"Built Up area: 525
(48.77 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 17 Lac
@ 3,238 per sq.ft. (Negotiable)","Glorious Tower, Samrat Colony
Ashoka Garden, Bhopal",2nd   of 4 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Arera Colony, Bhopal",Sai Dev Apartment,₹45 Lac,"₹4,500 /sqft",Ready To Move,Its in posh area e7 arera colony bhopal also metro is coming by beside to our area also its ground floor by 1000 sq ft also its independent house like duplex,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 45 Lac
@ 4,500 per sq.ft. (Negotiable)","Sai Dev Apartment
Arera Colony, Bhopal",Ground of 2 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Katara Hills, Bhopal",Agrawal Sagar Golden Palm,₹30 Lac,"₹3,000 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in agrawal sagar golden palm, katara hills, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1000 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1000
(92.9 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 30 Lac
@ 3,000 per sq.ft.","Agrawal Sagar Golden Palm
Katara Hills, Bhopal",2nd   of 7 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"4 BHK Flat in Shirdipuram, Bhopal",Agrawal Sagar Premium Towers,₹55 Lac,"₹4,867 /sqft",Ready To Move,"A 4 bhk apartment in sagar priyam tower jk hospital kolar road bhopal bhopal is available for sale. This property is a part of agrawal sagar premium towers.It has a super built-Up area of 1500 sq.Ft. Carpet area 1130 square feet the apartment is spaciously designed with 4 bedrooms, 3 bathrooms and more than 1 balconies. The apartment is on the 5th floor of 6 floors. The ownership of the apartment is freehold. The expected price of this property is price on request().","Super Built up area 1130
(104.98 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 55 Lac
@ 4,867 per sq.ft. (Negotiable) View Price Details","Agrawal Sagar Premium Towers
Shirdipuram, Bhopal",5th   of 6 Floors,,10+ Year Old,[],[],[],,
"2 BHK Flat in Kolar Road, Bhopal",Sarvadharm Colony,₹17 Lac,"₹2,428 /sqft",Ready To Move,"We are the proud owners of this 2 bhk apartment available in sarvadharm colony, kolar road, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 700 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 700
(65.03 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 17 Lac
@ 2,428 per sq.ft.","Sarvadharm Colony
Kolar Road, Bhopal",2nd   of 3 Floors,,10+ Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Khajuri Kalan , Bhopal",Shriram Sai Parisar,₹24 Lac,"₹2,666 /sqft",Ready To Move,Residential apartment for sell.The property has 2 bedrooms with 2 bathrooms .It is a unfurnished property.Located in khajuri kalan .Available at an expected price of rs 2400000.Located on 1st floor out of the 4 the property comes with a good construction quality which ages 1-5 years old property,"Super Built up area 900
(83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 24 Lac
@ 2,666 per sq.ft. (Negotiable)","Shriram Sai Parisar
Khajuri Kalan , Bhopal",1st   of 4 Floors,East,1 to 5 Year Old    View Construction Status,[],['Rain Water Harvesting'],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Main Road,
"3 BHK Flat in Hoshangabad Road, Bhopal",SARC Pacific Blue,₹48 Lac,"₹4,266 /sqft",Ready To Move,"It is close to dmart , mall and other amenities that make life convenient. It have spacious living room , a well designed kitchen and a comfortable bedrooms.","Carpet area: 1125
(104.52 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 48 Lac
@ 4,266 per sq.ft. (Negotiable)","SARC Pacific Blue
Hoshangabad Road, Bhopal",2nd   of 6 Floors,,5 to 10 Year Old,"['4 Wardrobe', '4 Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Kohefiza, Bhopal",Kamal Krishna Plaza Apartments,₹75 Lac,"₹4,687 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in kamal krishna plaza apartments, krishnanchal appartment, bhopal. This it is a and the unit is located on 2nd floor and has a super built-Up area of 1600 sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1600
(148.64 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3 Balconies","₹ 75 Lac
@ 4,687 per sq.ft.","Kamal Krishna Plaza Apartments
Kohefiza, Bhopal",2nd   of 3 Floors,,5 to 10 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Airport Road, Bhopal",Harshit Lifestyle,₹33.95 Lac,"₹2,952 /sqft",Ready To Move,Luxurious 3 bhk apartment with all the modern amenities,"Built Up area: 1150
(106.84 sq.m.)
Carpet area: 940 sq.ft. (87.33 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Others","₹ 33.95 Lac+ Govt Charges & Tax
@ 2,952 per sq.ft. (Negotiable) View Price Details","Harshit Lifestyle
Airport Road, Bhopal",2nd   of 6 Floors,West,0 to 1 Year Old    View Construction Status,[],"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Club,Main Road,Others",
"3 BHK Flat in Salaiya, Bhopal",Shiva Whispering Woods,₹42 Lac,"₹3,818 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in shiva whispering woods, salaiya, bhopal. This it is a and the unit is located on 4th floor and has a carpet area of 1100 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Carpet area: 1100
(102.19 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 42 Lac
@ 3,818 per sq.ft.","Shiva Whispering Woods
Salaiya, Bhopal",4th   of 6 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"3 BHK Flat in Arera Colony, Bhopal",BABA Apartments E7 Arera Colony,₹50 Lac,"₹3,333 /sqft",Ready To Move,"We are the proud owners of this 3 bhk apartment available in baba apartments e7 arera colony, near 11 no bus stop behind chitransh college, bhopal. This semifurnished apartment is a 10+ year old property, priced rs. 5000000 (Negotiable). It is a resale and a ready to move in apartment. The unit is located on the 2nd floor and has a super built-Up area of 1300 sq. Ft. It has marble flooring. It has 2 bathroom(S) and 4 balalcony(S). The ownership is freehold type. The property offers the best in class facilities such as park, visitor parking and water storage. It is positioned in a gated society. The apartment has 1 covered parking.","Super Built up area 1500
(139.35 sq.m.)
Carpet area: 1240 sq.ft. (115.2 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 3+ Balconies","₹ 50 Lac
@ 3,333 per sq.ft.","BABA Apartments E7 Arera Colony
Arera Colony, Bhopal",2nd   of 3 Floors,,10+ Year Old,[],"['Park', 'Visitor Parking', 'Water Storage', 'Maintenance Staff']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Kolar Road, Bhopal",Ujjawala Aamra Valley,₹36 Lac,"₹3,512 /sqft",Ready To Move,Its a garden facing big room size 2 bhk,"Super Built up area 1025
(95.23 sq.m.)
Carpet area: 775 sq.ft. (72 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 36 Lac
@ 3,512 per sq.ft. (Negotiable)","Ujjawala Aamra Valley
Kolar Road, Bhopal",2nd   of 6 Floors,South-West,1 to 5 Year Old,"['1 Bed', '2 Wardrobe', '1 Water Purifier', '1 Sofa', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Power Back-up', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club,Main Road,Others",
"3 BHK Flat in Hoshangabad Road, Bhopal",Aashima Royal City,₹41 Lac,"₹3,037 /sqft",Ready To Move,Nice place.Ready to move.Pls contact,"Carpet area: 1350
(125.42 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 41 Lac
@ 3,037 per sq.ft.","Aashima Royal City
Hoshangabad Road, Bhopal",5th   of 6 Floors,,0 to 1 Year Old,"['3 Fan', '1 Geyser', '8 Light', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Club",
"4 BHK Flat in Kolar Road, Bhopal",Danish Hills View,₹65 Lac,"₹4,482 /sqft",Ready To Move,"3 bhk apartment for sale luxury living in bhopals most reputed & scenic campus - Danish hills view, kolar","Carpet area: 1450
(134.71 sq.m.)  
sq.ft.","4 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 65 Lac
@ 4,482 per sq.ft.","Danish Hills View
Kolar Road, Bhopal",4th   of 4 Floors,East,5 to 10 Year Old,"['2 Bed', '2 Wardrobe', '4 Fan', '1 Fridge', '6 Light', '2 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",Park/Garden,
"2 BHK Flat in Hoshangabad Road, Bhopal",Lakhumal Nikhil Nestles,₹30 Lac,"₹2,500 /sqft",Ready To Move,Good society for the family .....Please visit once . Its including all aminities .,"Super Built up area 1200
(111.48 sq.m.)
Carpet area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac
@ 2,500 per sq.ft. (Negotiable)","Lakhumal Nikhil Nestles
Hoshangabad Road, Bhopal",6th   of 6 Floors,West,5 to 10 Year Old,"['4 Fan', '2 Geyser', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",
"3 BHK Flat in Hoshangabad Road, Bhopal",SARC Pacific Blue,₹50 Lac,"₹3,424 /sqft",Ready To Move,"For sale: Freshly renovated 3-Bhk, 1,460 sq ft ready to move","Super Built up area 1460
(135.64 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 50 Lac+ Govt Charges & Tax
@ 3,424 per sq.ft. (Negotiable)","SARC Pacific Blue
Hoshangabad Road, Bhopal",4th   of 7 Floors,,1 to 5 Year Old,"['6 Wardrobe', '3 Fan', '1 Geyser', '5 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Salaiya, Bhopal",Lila Atulyam,₹27 Lac,"₹4,990 /sqft",Ready To Move,"With lift facility, swimming pool, playground,park, guard facility, temple, gym","Super Built up area 732
(68.01 sq.m.)
Built Up area: 542 sq.ft. (50.35 sq.m.)
Carpet area: 541 sq.ft. (50.26 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 27 Lac
@ 4,990 per sq.ft. (Negotiable)","Lila Atulyam
Salaiya, Bhopal",3rd   of 7 Floors,North-East,1 to 5 Year Old    View Construction Status,"['1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Pool,Park/Garden,Main Road",
"2 BHK Flat in Katara Hills, Bhopal",fortune saumya,₹17 Lac,"₹2,485 /sqft",Ready To Move,"Check out this 2 bhk apartment for sale in fortune saumya, a popular residential project that houses in-Demand flats in katara hills, bhopal. Constructed on a super built up area of 684 sq.Ft., the flat comprises 2 bedroom(s), 1 bathroom and 1 balcony. This flat lies on the 5th level of a 6 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property.","Super Built up area 684
(63.55 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 1 Balcony","₹ 17 Lac
@ 2,485 per sq.ft.","fortune saumya
Katara Hills, Bhopal",5th   of 6 Floors,,1 to 5 Year Old,[],[],"[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,
"2 BHK Flat in Arera Colony, Bhopal",Vivek Apartment,₹30 Lac,"₹3,750 /sqft",Ready To Move,Spacious 2 bhk apartment in prime arera colony,"Super Built up area 800
(74.32 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 30 Lac+ Govt Charges & Tax
@ 3,750 per sq.ft. (All inclusive, Negotiable)","Vivek Apartment
Arera Colony, Bhopal",2nd   of 4 Floors,North,10+ Year Old,"['2 Bed', '1 Wardrobe', '4 Fan', '1 Sofa', '1 Exhaust Fan', '1 Stove', '4 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Maintenance Staff', 'Water Storage', 'Park', 'Recently Renovated', 'Security Personnel', 'Natural Light', 'Airy Rooms']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]","Park/Garden,Main Road",
